YEAR,COMPETITION,COMPETITOR,WIN_TYPE,SUBMISSION_TYPE,WEIGHT,GENDER,STAGE
2014,2014 World Jiu-Jitsu IBJJF Championship,Marcus Almeida “Buchecha”,Points,N/A,Absolute Division,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Rodolfo Vieira,Loss,N/A,Absolute Division,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Marcus Almeida “Buchecha”,Submission,Choke From The Back,Ultra Heavyweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Alexander Trans,Loss,N/A,Ultra Heavyweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Rodolfo Vieira,Submission,Armbar,Super Heavyweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Bernardo Faria,Loss,N/A,Super Heavyweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Felipe Pena,Points,N/A,Heavyweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Andre Galvao,Loss,N/A,Heavyweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Leandro Lo,Points,N/A,Middleweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Otavio Sousa,Loss,N/A,Middleweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Lucas Lepri,Points,N/A,Lightweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Jonathan “JT” Torres,Loss,N/A,Lightweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Rafael Mendes,Points,N/A,Featherweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Rubens Charles,Loss,N/A,Featherweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Guilherme Mendes,Advantage,N/A,Light Featherweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Paulo Miyao,Loss,N/A,Light Featherweight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Bruno Malfacine,Decision,N/A,Rooster Weight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Joao Miyao,Loss,N/A,Rooster Weight,Male,Final
2014,2014 World Jiu-Jitsu IBJJF Championship,Marcus Almeida “Buchecha”,Points,N/A,Absolute Division,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Keenan Cornelius,Loss,N/A,Absolute Division,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Rodolfo Vieira,Submission,Wrist Lock,Absolute Division,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Bernardo Faria,Loss,N/A,Absolute Division,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Marcus Almeida “Buchecha”,Submission,Choke From The Back,Ultra Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Ricardo Evangelista,Loss,N/A,Ultra Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Rodolfo Vieira,Submission,Katagatame,Super Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Leonardo Nogueira,Loss,N/A,Super Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Bernardo Faria,Points,N/A,Super Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Yuri Simões,Loss,N/A,Super Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Andre Galvao,Points,N/A,Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Rafael Lovato Jr.,Loss,N/A,Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Felipe Pena,Submission,Choke From The Back,Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Demetrius Sousa,Loss,N/A,Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Romulo Barral,Win,N/A,Medium Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Gustavo Gusto Campos,Loss,N/A,Medium Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Braulio Estima,Points,N/A,Medium Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Murilo Santana,Loss,N/A,Medium Heavyweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Otavio Sousa,Submission,Armbar,Middleweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Alan Finfou Nascimento,Loss,N/A,Middleweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Leandro Lo,Points,N/A,Middleweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Victor Estima,Loss,N/A,Middleweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Jonathan “JT” Torres,Advantage,N/A,Lightweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Michael Langhi,Loss,N/A,Lightweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Lucas Lepri,Points,N/A,Lightweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Roberto Satoshi,Loss,N/A,Lightweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Rubens Charles,Points,N/A,Featherweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Isaque Paiva,Loss,N/A,Featherweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Rafael Mendes,Submission,Choke From The Back,Featherweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Mario Reis,Loss,N/A,Featherweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Guilherme Mendes,Points,N/A,Light Featherweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Carlos Esquisito,Loss,N/A,Light Featherweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Paulo Miyao,Points,N/A,Light Featherweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Gabriel Moraes,Loss,N/A,Light Featherweight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Bruno Malfacine,Win,N/A,Rooster Weight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Jorge Elias,Loss,N/A,Rooster Weight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Joao Miyao,Points,N/A,Rooster Weight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Ivaniel Oliveira,Loss,N/A,Rooster Weight,Male,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Bernardo Faria,Points,N/A,Absolute Division,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Braulio Estima,Loss,N/A,Absolute Division,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Marcus Almeida “Buchecha”,Submission,Footlock,Absolute Division,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Felipe Pena,Loss,N/A,Absolute Division,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Rodolfo Vieira,Submission,Choke,Absolute Division,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Alexander Trans,Loss,N/A,Absolute Division,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Keenan Cornelius,Submission,Triangle,Absolute Division,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Leonardo Nogueira,Loss,N/A,Absolute Division,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Alexander Trans,Points,N/A,Ultra Heavyweight,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Abraham Marte,Loss,N/A,Ultra Heavyweight,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Marcus Almeida “Buchecha”,Submission,Armbar,Ultra Heavyweight,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Helton Nogueira,Loss,N/A,Ultra Heavyweight,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Ricardo Evangelista,Points,N/A,Ultra Heavyweight,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Mario Barbosa,Loss,N/A,Ultra Heavyweight,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Yuri Simões,Points,N/A,Super Heavyweight,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Gustavo Pires,Loss,N/A,Super Heavyweight,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Rodolfo Vieira,Submission,Choke From The Back,Super Heavyweight,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,James Puopolo,Loss,N/A,Super Heavyweight,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Leonardo Nogueira,Points,N/A,Super Heavyweight,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Tarcisio Jardim,Loss,N/A,Super Heavyweight,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Thiago Gaia,Decision,N/A,Super Heavyweight,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Rodrigo Cavaca,Loss,N/A,Super Heavyweight,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Bernardo Faria,Submission,Choke From The Back,Super Heavyweight,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Igor Silva,Loss,N/A,Super Heavyweight,Male,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Tammi Musumeci,Submission,Choke,Featherweight,Female,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Mackenzie Dern,Loss,N/A,Featherweight,Female,Semi-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Mackenzie Dern,Points,N/A,Featherweight,Female,Quarter-Finals
2014,2014 World Jiu-Jitsu IBJJF Championship,Ariadne Oliveira,Loss,N/A,Featherweight,Female,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Andre Galvao,Advantage,N/A,Absolute Division,Male,Final
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Leandro Lo,Loss,N/A,Absolute Division,Male,Final
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Andre Galvao,Advantage,N/A,Ultra Heavyweight,Male,Final
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Alexander Trans,Loss,N/A,Ultra Heavyweight,Male,Final
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Luiz Panza,Submission,Armbar,Super Heavyweight,Male,Final
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Bernardo Faria,Loss,N/A,Super Heavyweight,Male,Final
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Leandro Lo,Advantage,N/A,Middleweight,Male,Final
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Otavio Sousa,Loss,N/A,Middleweight,Male,Final
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Joao Pedro Somalia,Penalty,N/A,Rooster Weight,Male,Final
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Milton Bastos,Loss,N/A,Rooster Weight,Male,Final
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Andre Galvao,Points,N/A,Absolute Division,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Felipe Pena,Loss,N/A,Absolute Division,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Leandro Lo,Points,N/A,Absolute Division,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Alexander Trans,Loss,N/A,Absolute Division,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Alexander Trans,Submission,Choke From The Back,Ultra Heavyweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Leonardo Henrique D’Avila,Loss,N/A,Ultra Heavyweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Andre Galvao,Submission,Choke From The Back,Ultra Heavyweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Abraham Marte,Loss,N/A,Ultra Heavyweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Luiz Panza,Points,N/A,Super Heavyweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Tarcisio Jardim,Loss,N/A,Super Heavyweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Bernardo Faria,Win,N/A,Super Heavyweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Andre Campos,Loss,N/A,Super Heavyweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Yuri Simões,Advantage,N/A,Heavyweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Rafael Lovato Jr.,Loss,N/A,Heavyweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Lucas Leite,Submission,Choke From The Back,Heavyweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Roberto Tussa Alencar,Loss,N/A,Heavyweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Gustavo Gusto Campos,Advantage,N/A,Medium Heavyweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Renato Cardoso,Loss,N/A,Medium Heavyweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Keenan Cornelius,Submission,Triangle Arm Bar,Medium Heavyweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Rodrigo Fajardo,Loss,N/A,Medium Heavyweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Leandro Lo,Points,N/A,Middleweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Victor Estima,Loss,N/A,Middleweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Michael Langhi,Submission,Omoplata,Lightweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Phillipe Monica,Loss,N/A,Lightweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Lucas Lepri,Advantage,N/A,Lightweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Jonathan “JT” Torres,Loss,N/A,Lightweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Gianni Grippo,Points,N/A,Featherweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Samir Chantre,Loss,N/A,Featherweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Mario Reis,Points,N/A,Featherweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Osvaldo Queixinho Moizinho,Loss,N/A,Featherweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Paulo Miyao,Submission,Choke From The Back,Light Featherweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Vitor Paschoal,Loss,N/A,Light Featherweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Joao Miyao,Submission,Choke From The Back,Light Featherweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Rafael Barata Freitas,Loss,N/A,Light Featherweight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Joao Pedro Somalia,Submission,Choke From The Back,Rooster Weight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Koji Shibamoto,Loss,N/A,Rooster Weight,Male,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Andre Galvao,Points,N/A,Absolute Division,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Murilo Santana,Loss,N/A,Absolute Division,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Alexander Trans,Points,N/A,Absolute Division,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Keenan Cornelius,Loss,N/A,Absolute Division,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Leandro Lo,Points,N/A,Absolute Division,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Victor Estima,Loss,N/A,Absolute Division,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Felipe Pena,Points,N/A,Absolute Division,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Diego Herzog,Loss,N/A,Absolute Division,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Andre Galvao,Submission,Armbar,Ultra Heavyweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Gabriel Lucas,Loss,N/A,Ultra Heavyweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Alexander Trans,Submission,Choke From The Back,Ultra Heavyweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Raphael Goulart,Loss,N/A,Ultra Heavyweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Tarcisio Jardim,Win,N/A,Super Heavyweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Tiago Giussani,Loss,N/A,Super Heavyweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Bernardo Faria,Submission,Choke From The Back,Super Heavyweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Bernardo Siqueira,Loss,N/A,Super Heavyweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Luiz Panza,Points,N/A,Super Heavyweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Tiago Declavo,Loss,N/A,Super Heavyweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Yuri Simões,Advantage,N/A,Heavyweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Jackson Sousa,Loss,N/A,Heavyweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Roberto Tussa Alencar,Points,N/A,Heavyweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Fabiano Leite,Loss,N/A,Heavyweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Lucas Leite,Submission,Choke From The Back,Heavyweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,John Salter,Loss,N/A,Heavyweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Renato Cardoso,Points,N/A,Medium Heavyweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Vitor Toledo,Loss,N/A,Medium Heavyweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Gustavo Gusto Campos,Advantage,N/A,Medium Heavyweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Diego Herzog,Loss,N/A,Medium Heavyweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Keenan Cornelius,Points,N/A,Medium Heavyweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Murilo Santana,Loss,N/A,Medium Heavyweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Leandro Lo,Points,N/A,Middleweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Charles Negromonte,Loss,N/A,Middleweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Lucas Rocha,Points,N/A,Middleweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Clark Gracie,Loss,N/A,Middleweight,Male,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Tammi Musumeci,Advantage,N/A,Featherweight,Female,Final
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Mackenzie Dern,Loss,N/A,Featherweight,Female,Final
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Andresa Correa,Win,N/A,Absolute Division,Female,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Mackenzie Dern,Loss,N/A,Absolute Division,Female,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Mackenzie Dern,Submission,Omoplata,Featherweight,Female,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Cristina Brandao,Loss,N/A,Featherweight,Female,Semi-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Mackenzie Dern,Advantage,N/A,Absolute Division,Female,Quarter-Finals
2014,2014 Pan Jiu-Jitsu IBJJF Championship,Talita Nogueira,Loss,N/A,Absolute Division,Female,Quarter-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Dimitrius Souza,Advantage,N/A,Heavyweight,Male,Final
2014,2014 Brazilian National Jiu-Jitsu Championship,Alan Regis,Loss,N/A,Heavyweight,Male,Final
2014,2014 Brazilian National Jiu-Jitsu Championship,Felipe Pena,Advantage,N/A,Medium Heavyweight,Male,Final
2014,2014 Brazilian National Jiu-Jitsu Championship,Renato Cardoso,Loss,N/A,Medium Heavyweight,Male,Final
2014,2014 Brazilian National Jiu-Jitsu Championship,Claudio Mattos,Decision,N/A,Middleweight,Male,Final
2014,2014 Brazilian National Jiu-Jitsu Championship,Diego Borges,Loss,N/A,Middleweight,Male,Final
2014,2014 Brazilian National Jiu-Jitsu Championship,Paulo Miyao,Points,N/A,Featherweight,Male,Final
2014,2014 Brazilian National Jiu-Jitsu Championship,Leo Saggioro,Loss,N/A,Featherweight,Male,Final
2014,2014 Brazilian National Jiu-Jitsu Championship,Ivaniel Oliveira,Win,N/A,Rooster Weight,Male,Final
2014,2014 Brazilian National Jiu-Jitsu Championship,João Pedro Rodrigues,Loss,N/A,Rooster Weight,Male,Final
2014,2014 Brazilian National Jiu-Jitsu Championship,Felipe Pena,Points,N/A,Absolute Division,Male,Semi-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Lucas Lepri,Loss,N/A,Absolute Division,Male,Semi-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Alexandre Ribeiro,Points,N/A,Absolute Division,Male,Semi-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Renato Cardoso,Loss,N/A,Absolute Division,Male,Semi-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Diego Borges,Points,N/A,Middleweight,Male,Semi-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Augusto Carsalade,Loss,N/A,Middleweight,Male,Semi-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Claudio Mattos,Decision,N/A,Middleweight,Male,Semi-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Charles Negromonte,Loss,N/A,Middleweight,Male,Semi-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Juan Caio Kamezawa,Advantage,N/A,Lightweight,Male,Semi-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Sandro Vieira,Loss,N/A,Lightweight,Male,Semi-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Lucas Lepri,Submission,Choke From The Back,Lightweight,Male,Semi-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Pedro Fernandes,Loss,N/A,Lightweight,Male,Semi-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Paulo Miyao,Submission,Choke From The Back,Featherweight,Male,Semi-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,David Lemes,Loss,N/A,Featherweight,Male,Semi-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Joao Miyao,Points,N/A,Light Featherweight,Male,Semi-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Giusley Santos,Loss,N/A,Light Featherweight,Male,Semi-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Felipe Pena,Submission,Choke From The Back,Absolute Division,Male,Quarter-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Ricardo Evangelista,Loss,N/A,Absolute Division,Male,Quarter-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Alexandre Ribeiro,Submission,Cross Choke,Absolute Division,Male,Quarter-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Alan Regis,Loss,N/A,Absolute Division,Male,Quarter-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Lucas Lepri,Decision,N/A,Absolute Division,Male,Quarter-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Paulo Miyao,Loss,N/A,Absolute Division,Male,Quarter-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Alexandre Ribeiro,Points,N/A,Heavyweight,Male,Quarter-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Ricardo Ramos,Loss,N/A,Heavyweight,Male,Quarter-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Diego Borges,Win,N/A,Middleweight,Male,Quarter-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Eduardo Santoro,Loss,N/A,Middleweight,Male,Quarter-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Sandro Vieira,DQ,N/A,-76Kgs,Male,Quarter-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,AJ Agazarm,Loss,N/A,-76Kgs,Male,Quarter-Finals
2014,2014 Brazilian National Jiu-Jitsu Championship,Talita Nogueira,Win,N/A,Absolute Division,Female,Final
2014,2014 Brazilian National Jiu-Jitsu Championship,Mackenzie Dern,Loss,N/A,Absolute Division,Female,Final
2015,2015 World Jiu-Jitsu IBJJF Championship,Gabriel Lucas,Advantage,N/A,Ultra Heavyweight,Male,Final
2015,2015 World Jiu-Jitsu IBJJF Championship,Ricardo Evangelista,Loss,N/A,Ultra Heavyweight,Male,Final
2015,2015 World Jiu-Jitsu IBJJF Championship,Bernardo Faria,Points,N/A,Super Heavyweight,Male,Final
2015,2015 World Jiu-Jitsu IBJJF Championship,Joao Gabriel Rocha,Loss,N/A,Super Heavyweight,Male,Final
2015,2015 World Jiu-Jitsu IBJJF Championship,Alexandre Ribeiro,Points,N/A,Heavyweight,Male,Final
2015,2015 World Jiu-Jitsu IBJJF Championship,Lucas Leite,Loss,N/A,Heavyweight,Male,Final
2015,2015 World Jiu-Jitsu IBJJF Championship,Leandro Lo,Points,N/A,Medium Heavyweight,Male,Final
2015,2015 World Jiu-Jitsu IBJJF Championship,Tarsis Humphreys,Loss,N/A,Medium Heavyweight,Male,Final
2015,2015 World Jiu-Jitsu IBJJF Championship,Claudio Calasans,Points,N/A,Middleweight,Male,Final
2015,2015 World Jiu-Jitsu IBJJF Championship,Vitor Oliveira,Loss,N/A,Middleweight,Male,Final
2015,2015 World Jiu-Jitsu IBJJF Championship,Rafael Mendes,Points,N/A,Featherweight,Male,Final
